Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA2 (EN) by RNTRD Rent (weekly) Ranges by HIND Total Household Income (weekly)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

" Braidwood"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"$75-$99",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
"$100-$124",0,0,0,0,3,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,23,
"$125-$149",0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,
"$150-$174",0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,17,
"$175-$199",0,0,0,0,0,0,4,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,
"$200-$224",0,0,0,0,0,3,3,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,
"$225-$249",0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,
"$250-$274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
"$275-$299",0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,15,
"$300-$324",0,0,0,0,0,0,6,6,7,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,34,
"$325-$349",0,0,0,0,0,3,3,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,
"$350-$374",0,0,0,0,0,0,11,5,6,8,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,54,
"$375-$399",0,0,0,0,0,0,10,8,5,3,4,3,0,6,3,0,0,0,0,0,0,0,0,0,0,54,
"$400-$424",0,0,0,0,0,4,9,6,13,6,7,10,6,10,6,3,0,0,0,0,0,0,7,0,0,91,
"$425-$449",0,0,0,0,0,0,6,0,8,4,8,7,11,7,4,3,0,0,0,0,0,0,6,0,0,73,
"$450-$474",0,0,0,0,0,0,4,8,11,12,16,10,11,14,3,6,5,0,0,4,0,0,6,0,0,112,
"$475-$499",0,0,0,0,0,0,0,4,4,5,10,6,5,7,7,4,4,0,0,0,0,0,5,0,0,67,
"$500-$524",0,0,0,0,0,0,6,0,0,0,8,6,11,12,14,10,3,0,0,4,0,0,4,0,0,76,
"$525-$549",0,0,0,0,0,0,0,0,4,5,3,6,5,3,3,6,3,0,0,3,0,0,0,0,0,52,
"$550-$649",0,0,0,4,0,0,0,6,7,8,11,6,7,33,22,17,6,7,10,7,0,0,9,0,0,161,
"$650-$749",0,0,0,0,0,0,0,0,0,9,3,4,7,8,8,9,6,3,8,0,0,0,9,0,0,79,
"$750-$849",0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,4,4,10,3,4,0,4,0,0,52,
"$850-$949",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,0,0,19,
"$950 and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,19,
"Not stated",0,3,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,25,
"Not applicable",11,43,27,40,48,201,134,186,230,194,196,130,123,237,178,190,106,69,153,100,87,25,153,35,550,3445,
"Total",13,50,28,44,66,247,187,246,335,270,307,207,198,370,257,253,145,87,176,118,98,25,220,54,551,4559,


" Wurtulla - Birtinya"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
"$75-$99",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"$100-$124",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
"$125-$149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
"$150-$174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,
"$175-$199",0,0,0,3,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,
"$200-$224",0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,
"$225-$249",0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
"$250-$274",0,0,0,0,0,0,8,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,23,
"$275-$299",0,0,0,0,0,4,14,0,5,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,29,
"$300-$324",0,0,0,0,0,0,19,11,7,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,52,
"$325-$349",0,0,0,0,6,4,9,6,13,12,5,7,3,3,0,0,0,0,0,0,0,0,0,0,0,63,
"$350-$374",0,0,0,0,0,3,6,6,8,8,4,11,0,3,0,0,0,0,0,0,0,0,4,0,0,59,
"$375-$399",0,0,0,0,0,4,10,5,13,16,3,9,0,0,5,5,0,0,0,0,0,0,0,0,0,64,
"$400-$424",0,0,0,0,0,3,5,8,10,14,11,11,8,13,5,5,0,0,0,0,0,0,0,0,0,106,
"$425-$449",0,0,0,0,0,3,7,6,11,9,20,9,11,15,11,8,3,0,3,0,3,0,3,0,0,130,
"$450-$474",0,0,0,3,5,3,8,7,5,17,19,20,11,32,14,7,6,0,11,0,0,0,10,3,0,178,
"$475-$499",0,0,0,3,0,0,0,0,8,13,6,7,10,22,8,12,3,4,3,5,0,0,0,0,0,113,
"$500-$524",0,0,0,0,0,4,0,0,12,11,14,3,10,31,15,19,0,0,7,0,0,0,8,0,0,146,
"$525-$549",0,0,0,0,0,0,3,7,5,6,11,9,3,16,6,6,0,0,7,5,0,0,6,0,0,90,
"$550-$649",0,0,0,0,0,0,7,7,12,9,14,24,22,49,42,30,17,10,17,16,8,0,21,0,0,322,
"$650-$749",0,0,0,0,0,0,0,0,6,3,4,0,10,14,14,18,11,7,3,5,4,0,14,0,0,120,
"$750-$849",0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,3,0,0,10,3,0,7,0,0,55,
"$850-$949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,13,
"$950 and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,16,
"Not stated",0,0,0,0,4,0,0,5,0,5,7,0,0,3,6,4,0,0,0,0,0,0,10,0,0,42,
"Not applicable",5,26,22,31,32,143,97,166,131,141,170,105,117,245,176,170,94,56,109,86,35,18,158,46,462,2832,
"Total",6,36,22,45,59,182,197,250,256,274,297,234,208,479,310,297,157,92,163,124,65,22,246,53,467,4525,


" Caloundra West - Baringa"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"$75-$99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"$100-$124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"$125-$149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"$150-$174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"$175-$199",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
"$200-$224",0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
"$225-$249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
"$250-$274",0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,
"$275-$299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"$300-$324",0,0,0,0,0,0,3,0,4,4,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,19,
"$325-$349",0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
"$350-$374",0,0,0,0,0,0,4,4,5,4,10,3,7,3,3,0,0,0,0,0,0,0,0,0,0,53,
"$375-$399",0,6,0,0,0,0,0,0,5,5,10,6,3,3,3,0,0,0,0,0,0,0,0,0,0,51,
"$400-$424",0,0,0,0,0,0,4,8,14,16,13,14,17,12,3,0,3,3,0,0,0,0,3,0,0,111,
"$425-$449",0,0,0,0,0,3,3,10,22,14,26,14,7,31,13,10,3,0,0,0,0,0,9,0,0,170,
"$450-$474",0,4,0,0,8,0,14,11,7,37,31,35,32,54,30,11,6,7,3,0,0,0,24,0,0,320,
"$475-$499",0,0,0,0,0,3,4,12,11,16,24,31,26,49,29,19,14,6,0,5,0,0,18,0,0,281,
"$500-$524",0,3,0,0,4,3,8,12,12,19,28,19,29,56,41,27,6,0,4,3,0,0,21,0,0,310,
"$525-$549",0,0,0,0,0,0,4,0,3,10,9,6,15,31,17,10,5,0,4,9,0,0,10,0,0,115,
"$550-$649",0,4,0,0,0,0,3,10,4,4,18,20,16,27,37,19,10,5,6,4,0,0,15,0,0,208,
"$650-$749",0,0,0,0,0,0,0,0,0,0,5,4,0,3,7,0,0,0,3,5,3,0,7,0,0,30,
"$750-$849",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,11,
"$850-$949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"$950 and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,
"Not stated",0,0,0,0,0,4,0,0,3,6,4,3,0,4,0,0,3,0,0,0,0,0,5,3,0,35,
"Not applicable",9,33,11,18,47,156,113,207,217,237,249,223,236,525,345,237,189,90,88,66,31,5,209,46,341,3955,
"Total",14,49,13,22,61,181,177,280,316,376,430,387,395,809,528,340,245,113,123,88,36,7,331,62,343,5734,


" Meridan Plains - Little Mountain (North)"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"$75-$99",0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
"$100-$124",0,0,0,0,0,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,22,
"$125-$149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"$150-$174",0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"$175-$199",0,0,0,0,0,3,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,
"$200-$224",0,0,0,0,4,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,33,
"$225-$249",0,0,0,0,0,4,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,
"$250-$274",0,0,0,0,3,5,17,3,4,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,41,
"$275-$299",0,0,0,0,0,8,6,4,4,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,34,
"$300-$324",0,0,0,0,0,7,10,0,7,4,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,43,
"$325-$349",0,0,0,0,0,4,6,4,7,7,6,0,5,5,0,0,0,0,0,0,0,0,4,0,0,45,
"$350-$374",0,0,0,0,3,0,7,4,13,11,12,10,8,3,7,4,0,0,0,0,0,0,3,5,0,80,
"$375-$399",0,0,0,0,0,0,0,0,11,4,5,4,4,0,3,0,0,0,0,0,0,0,3,0,0,39,
"$400-$424",0,3,0,0,0,0,0,3,8,4,13,8,5,13,4,4,0,0,0,0,0,0,0,0,0,73,
"$425-$449",0,0,0,0,0,0,0,4,9,11,11,7,9,16,9,7,6,0,0,0,0,0,6,0,0,113,
"$450-$474",0,0,0,3,0,0,7,8,21,13,31,13,17,25,15,11,7,0,3,3,0,0,15,0,0,196,
"$475-$499",0,0,0,0,0,0,5,0,11,8,16,19,14,35,13,12,0,0,4,0,0,0,11,0,0,153,
"$500-$524",0,0,0,0,0,0,0,7,8,8,11,8,9,37,16,10,4,6,0,0,0,0,11,0,0,138,
"$525-$549",0,0,0,0,0,0,0,0,0,3,7,0,4,18,8,5,7,3,0,0,0,0,4,0,0,61,
"$550-$649",0,0,0,0,0,4,3,8,7,0,11,17,11,35,26,15,3,5,7,0,4,0,14,0,0,170,
"$650-$749",0,0,0,0,0,0,0,0,3,4,0,4,0,3,0,0,3,0,5,5,0,0,3,0,0,30,
"$750-$849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,5,0,0,10,
"$850-$949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,7,
"$950 and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Not stated",0,0,0,0,0,3,0,3,0,0,0,3,7,3,3,3,0,0,0,0,0,0,0,6,0,42,
"Not applicable",13,25,18,37,68,273,238,354,260,264,255,175,191,421,299,206,156,102,90,68,34,7,203,86,463,4306,
"Total",17,37,24,54,90,317,313,431,384,360,394,278,268,628,410,272,180,120,118,83,35,15,297,110,471,5709,


" Coolum Beach"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,
"$75-$99",0,0,0,4,4,6,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,
"$100-$124",0,0,0,0,11,18,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,50,
"$125-$149",0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
"$150-$174",0,0,0,4,0,7,10,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,
"$175-$199",0,0,0,0,8,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,
"$200-$224",0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,
"$225-$249",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,
"$250-$274",0,0,0,0,0,3,3,6,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,28,
"$275-$299",0,0,0,0,0,0,5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,
"$300-$324",0,0,0,0,3,9,10,0,4,13,3,5,3,4,4,0,0,0,0,0,0,0,0,0,0,65,
"$325-$349",0,0,0,0,0,0,6,4,4,6,5,0,4,3,5,0,0,0,0,0,0,0,0,0,0,44,
"$350-$374",0,0,0,0,3,4,8,10,13,23,12,5,4,15,3,3,0,0,0,0,0,0,8,0,0,120,
"$375-$399",3,0,0,0,3,8,8,14,8,4,12,12,6,10,3,0,0,0,0,0,0,0,0,0,0,94,
"$400-$424",0,4,0,0,3,5,10,8,12,17,26,14,9,26,6,8,0,0,0,0,0,0,3,3,0,155,
"$425-$449",0,0,0,0,0,0,0,4,9,11,9,6,8,15,5,3,5,0,0,0,0,0,4,3,0,85,
"$450-$474",0,0,0,4,3,5,9,10,6,22,19,12,15,34,9,6,5,0,0,0,0,0,4,0,0,171,
"$475-$499",0,0,0,0,0,0,0,5,11,5,5,5,13,18,13,7,4,0,0,0,0,0,8,0,0,94,
"$500-$524",0,0,0,0,0,4,3,7,16,12,21,11,11,33,14,6,3,0,8,0,0,0,8,0,0,160,
"$525-$549",0,0,0,0,0,0,0,0,0,5,11,3,0,8,3,3,3,3,0,0,0,0,3,0,0,50,
"$550-$649",0,0,0,0,0,8,0,6,9,7,9,20,20,37,25,16,11,8,3,3,0,0,21,0,0,211,
"$650-$749",0,0,0,0,0,0,0,0,0,5,7,5,0,11,19,11,9,9,11,4,3,0,9,4,0,106,
"$750-$849",0,0,0,0,0,0,0,0,0,3,6,3,4,7,4,8,0,0,4,0,0,0,0,0,0,50,
"$850-$949",0,0,0,4,0,4,0,0,0,6,0,0,5,4,3,4,0,0,0,4,9,0,0,0,0,36,
"$950 and over",0,0,0,0,0,0,0,0,0,3,6,0,4,6,4,9,3,4,4,4,0,4,4,0,0,70,
"Not stated",0,4,0,0,0,7,3,0,5,4,0,0,0,3,4,0,0,0,0,4,0,0,7,5,0,62,
"Not applicable",11,52,48,47,88,253,179,283,260,310,327,245,244,540,342,316,198,85,185,124,80,32,283,97,1199,5822,
"Total",22,63,58,63,138,352,287,377,383,476,496,353,354,770,481,399,239,112,223,153,95,40,374,127,1202,7634,


" Marcoola - Mudjimba"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"$75-$99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"$100-$124",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"$125-$149",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"$150-$174",0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,
"$175-$199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
"$200-$224",0,0,0,0,4,0,6,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,
"$225-$249",0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,
"$250-$274",0,0,0,5,4,0,5,3,0,0,6,7,0,4,0,0,0,0,0,0,0,0,0,0,0,24,
"$275-$299",0,3,0,0,0,0,0,0,6,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,29,
"$300-$324",0,0,0,0,0,9,8,12,18,15,12,12,10,10,0,0,0,0,0,0,0,0,0,0,0,107,
"$325-$349",0,0,0,0,4,0,14,3,10,10,11,4,0,4,0,0,0,0,0,0,0,0,5,0,0,71,
"$350-$374",0,0,0,0,0,10,5,18,9,12,4,9,11,13,0,0,0,0,0,0,0,0,0,0,0,99,
"$375-$399",0,0,0,0,3,0,5,8,9,6,7,5,6,12,4,0,0,0,0,0,0,0,7,0,0,75,
"$400-$424",0,4,0,4,0,4,7,11,15,15,17,10,8,17,8,0,0,0,0,0,0,0,4,0,0,124,
"$425-$449",0,0,0,0,3,0,0,6,5,8,10,4,0,12,3,0,0,0,0,0,0,0,5,0,0,71,
"$450-$474",0,0,0,0,6,0,5,11,6,11,12,6,7,17,13,5,3,0,3,0,0,0,10,0,0,109,
"$475-$499",0,0,0,0,0,8,3,0,4,4,5,6,10,11,7,3,0,0,0,0,0,0,9,0,0,73,
"$500-$524",0,5,0,0,0,0,0,5,3,4,13,8,11,17,9,0,4,0,0,0,0,0,11,0,0,86,
"$525-$549",0,0,0,0,0,0,0,3,0,0,0,0,7,9,0,0,0,0,0,0,0,0,6,0,0,35,
"$550-$649",0,4,0,0,0,0,3,6,3,0,10,10,11,16,21,16,5,5,5,3,0,0,11,0,0,139,
"$650-$749",0,5,0,0,0,4,0,0,0,0,0,5,9,6,17,12,5,0,5,0,9,0,4,0,0,86,
"$750-$849",0,0,0,0,0,0,0,0,6,5,3,4,3,3,0,4,0,4,7,0,0,0,4,0,0,41,
"$850-$949",0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,0,3,0,0,0,0,0,0,21,
"$950 and over",0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,3,0,0,4,4,0,0,24,
"Not stated",0,0,0,0,0,0,0,0,0,3,0,4,6,3,0,5,0,0,0,0,0,0,0,4,0,39,
"Not applicable",15,59,28,32,54,189,141,246,282,283,294,202,228,362,239,189,107,46,121,77,67,19,210,102,784,4359,
"Total",18,76,38,45,87,224,221,348,388,397,417,286,319,519,325,244,144,61,155,79,75,21,285,111,786,5674,


" Maroochydore - Kuluin"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,3,4,12,3,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,
"$75-$99",0,4,0,10,14,11,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,
"$100-$124",0,0,0,6,31,60,12,3,8,4,4,4,0,0,0,0,0,0,4,0,0,0,0,5,0,147,
"$125-$149",0,0,0,6,7,13,6,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,
"$150-$174",0,0,0,9,8,6,14,15,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,74,
"$175-$199",0,0,7,0,3,10,9,7,8,5,9,0,0,0,3,0,0,0,0,0,0,0,5,6,0,63,
