RNTRD Rent (weekly) Ranges,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial income stated,All incomes not stated,Not applicable,Total,Suburb
$550-$649,0,0,0,0,0,0,0,0,7,0,0,9,6,14,7,7,9,8,5,0,0,0,6,0,0,89, Pimpama - North
$650-$749,0,0,0,0,0,0,0,0,0,0,4,4,4,5,3,3,0,0,0,0,0,0,3,0,0,37, Pimpama - North
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11, Pimpama - North
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Pimpama - North
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Pimpama - North
Not stated,0,4,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,0,0,0,5,0,0,35, Pimpama - North
Not applicable,3,22,13,8,15,31,60,72,104,143,150,98,123,262,200,163,104,48,50,45,13,7,97,26,261,2137, Pimpama - North
Total,9,24,16,17,23,61,106,148,187,268,275,236,219,489,301,240,132,65,68,55,20,8,177,33,268,3456, Pimpama - North
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Pimpama - South
$75-$99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Pimpama - South
$100-$124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Pimpama - South
$125-$149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Pimpama - South
$150-$174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6, Pimpama - South
$175-$199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Pimpama - South
$200-$224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5, Pimpama - South
$225-$249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5, Pimpama - South
$250-$274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Pimpama - South
$275-$299,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Pimpama - South
$300-$324,0,0,0,0,0,3,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,27, Pimpama - South
$325-$349,0,0,0,0,0,4,0,5,3,5,6,5,3,4,0,0,0,0,0,0,0,0,0,0,0,33, Pimpama - South
$350-$374,0,0,0,0,0,0,0,0,6,0,6,6,5,0,6,0,0,0,0,0,0,0,3,0,0,38, Pimpama - South
$375-$399,0,0,0,0,0,3,7,15,13,20,21,35,24,37,6,3,0,0,0,0,0,0,9,3,0,198, Pimpama - South
$400-$424,0,3,0,0,0,6,14,24,26,47,59,41,41,67,34,24,4,3,0,0,0,0,23,3,0,425, Pimpama - South
$425-$449,0,4,0,0,5,9,16,26,38,46,68,51,58,104,48,18,7,7,5,0,0,0,38,4,0,556, Pimpama - South
$450-$474,8,0,0,0,8,5,15,12,21,40,66,57,60,123,59,18,12,6,7,0,6,0,30,0,0,559, Pimpama - South
$475-$499,0,3,0,0,0,0,0,3,7,4,15,9,11,17,14,8,3,4,3,0,0,0,0,0,0,114, Pimpama - South
$500-$524,0,0,0,0,0,0,0,0,0,5,3,6,4,13,11,5,0,0,0,0,0,0,8,0,0,59, Pimpama - South
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,7, Pimpama - South
$550-$649,0,0,0,0,0,0,0,5,6,0,4,0,0,4,4,0,0,0,0,0,0,0,10,0,0,31, Pimpama - South
$650-$749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7, Pimpama - South
$750-$849,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Pimpama - South
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Pimpama - South
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5, Pimpama - South
Not stated,3,0,0,0,3,4,4,0,0,4,0,4,0,6,0,0,0,0,0,0,0,0,5,9,0,50, Pimpama - South
Not applicable,3,9,5,9,5,6,15,25,29,47,86,60,75,171,108,84,40,28,26,21,11,0,75,15,406,1366, Pimpama - South
Total,11,26,7,12,19,44,81,128,164,222,336,275,295,550,294,164,77,48,43,29,19,4,203,40,416,3511, Pimpama - South
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Upper Coomera (South) - Wongawallan
$75-$99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Upper Coomera (South) - Wongawallan
$100-$124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Upper Coomera (South) - Wongawallan
$125-$149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Upper Coomera (South) - Wongawallan
$150-$174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Upper Coomera (South) - Wongawallan
$175-$199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Upper Coomera (South) - Wongawallan
$200-$224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Upper Coomera (South) - Wongawallan
$225-$249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Upper Coomera (South) - Wongawallan
$250-$274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12, Upper Coomera (South) - Wongawallan
$275-$299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Upper Coomera (South) - Wongawallan
$300-$324,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9, Upper Coomera (South) - Wongawallan
$325-$349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Upper Coomera (South) - Wongawallan
$350-$374,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,12, Upper Coomera (South) - Wongawallan
$375-$399,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Upper Coomera (South) - Wongawallan
$400-$424,0,0,0,0,0,0,0,3,0,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,33, Upper Coomera (South) - Wongawallan
$425-$449,0,0,0,0,0,0,0,0,4,4,7,0,0,4,6,0,0,0,0,0,0,0,5,0,0,37, Upper Coomera (South) - Wongawallan
$450-$474,0,0,0,0,0,4,0,3,4,7,15,5,10,20,8,4,7,0,0,0,0,0,10,0,0,107, Upper Coomera (South) - Wongawallan
$475-$499,0,0,0,0,0,0,0,0,0,8,7,11,10,13,8,8,5,0,0,0,0,0,8,0,0,81, Upper Coomera (South) - Wongawallan
$500-$524,0,0,0,0,0,0,0,3,0,0,10,4,11,19,6,5,6,0,4,0,0,0,3,0,0,79, Upper Coomera (South) - Wongawallan
$525-$549,0,0,0,0,0,0,0,0,0,3,0,0,4,11,4,10,3,0,0,0,0,0,0,0,0,36, Upper Coomera (South) - Wongawallan
$550-$649,0,5,0,0,0,0,0,5,4,8,10,3,9,19,28,27,12,3,11,5,0,0,10,0,0,162, Upper Coomera (South) - Wongawallan
$650-$749,0,0,0,0,0,0,0,0,0,0,0,4,4,5,3,9,3,0,7,0,0,0,0,0,0,40, Upper Coomera (South) - Wongawallan
$750-$849,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,19, Upper Coomera (South) - Wongawallan
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7, Upper Coomera (South) - Wongawallan
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Upper Coomera (South) - Wongawallan
Not stated,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,3,3,0,29, Upper Coomera (South) - Wongawallan
Not applicable,4,13,13,9,28,72,49,107,98,130,166,125,142,379,326,272,196,98,153,92,56,19,186,37,220,2983, Upper Coomera (South) - Wongawallan
Total,4,27,14,17,25,82,57,130,125,168,221,172,194,483,410,338,242,112,183,103,63,20,231,44,222,3673, Upper Coomera (South) - Wongawallan
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5, Upper Coomera - North
$75-$99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Upper Coomera - North
$100-$124,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10, Upper Coomera - North
$125-$149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6, Upper Coomera - North
$150-$174,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10, Upper Coomera - North
$175-$199,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8, Upper Coomera - North
$200-$224,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11, Upper Coomera - North
$225-$249,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6, Upper Coomera - North
$250-$274,0,0,0,0,3,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19, Upper Coomera - North
$275-$299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10, Upper Coomera - North
$300-$324,0,0,0,0,3,4,3,6,4,3,4,0,0,3,0,0,0,0,0,0,0,0,4,0,0,31, Upper Coomera - North
$325-$349,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13, Upper Coomera - North
$350-$374,0,0,0,0,0,0,4,0,13,3,3,6,4,6,0,0,0,0,0,0,0,0,0,0,0,46, Upper Coomera - North
$375-$399,0,3,0,0,0,3,12,10,8,15,16,9,4,23,9,0,0,0,0,0,0,0,12,0,0,142, Upper Coomera - North
$400-$424,0,5,0,0,8,6,24,24,44,42,57,49,35,62,34,20,3,0,5,4,0,0,20,3,0,443, Upper Coomera - North
$425-$449,0,4,3,0,4,0,6,27,17,36,41,43,27,69,37,10,3,3,5,0,0,0,27,0,0,369, Upper Coomera - North
$450-$474,0,3,0,4,0,4,16,19,29,42,60,48,47,73,51,34,21,9,3,0,0,0,32,5,0,500, Upper Coomera - North
$475-$499,0,0,0,0,5,0,6,9,14,11,36,17,28,52,30,22,8,8,0,5,0,0,15,0,0,271, Upper Coomera - North
$500-$524,0,5,0,0,0,4,3,8,9,20,23,26,16,32,27,21,6,0,7,0,0,0,15,0,0,197, Upper Coomera - North
$525-$549,0,0,0,0,0,0,0,6,0,0,7,5,6,10,10,9,10,5,6,0,0,0,7,0,0,78, Upper Coomera - North
$550-$649,0,0,0,0,3,4,4,9,4,15,8,6,10,25,12,12,10,5,5,4,3,0,11,0,0,150, Upper Coomera - North
$650-$749,0,0,0,0,0,0,0,0,0,3,5,5,0,4,3,8,3,0,0,3,0,0,4,0,0,41, Upper Coomera - North
$750-$849,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,0,0,9, Upper Coomera - North
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6, Upper Coomera - North
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13, Upper Coomera - North
Not stated,0,4,0,0,0,0,4,4,0,9,8,4,4,0,0,0,0,0,0,0,0,0,12,11,0,74, Upper Coomera - North
Not applicable,10,38,16,20,38,115,99,191,198,244,233,237,259,585,430,311,179,95,112,75,42,14,241,66,502,4336, Upper Coomera - North
Total,16,55,20,26,69,154,183,318,361,449,501,463,449,956,659,453,242,131,151,94,49,14,403,81,507,6801, Upper Coomera - North
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Willow Vale - Pimpama (West)
$75-$99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Willow Vale - Pimpama (West)
$100-$124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Willow Vale - Pimpama (West)
$125-$149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Willow Vale - Pimpama (West)
$150-$174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Willow Vale - Pimpama (West)
$175-$199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5, Willow Vale - Pimpama (West)
$200-$224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9, Willow Vale - Pimpama (West)
$225-$249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Willow Vale - Pimpama (West)
$250-$274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Willow Vale - Pimpama (West)
$275-$299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Willow Vale - Pimpama (West)
$300-$324,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15, Willow Vale - Pimpama (West)
$325-$349,0,0,0,0,0,0,0,5,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20, Willow Vale - Pimpama (West)
$350-$374,0,0,0,0,0,5,4,10,4,6,12,4,0,11,0,0,0,0,0,0,0,0,9,4,0,67, Willow Vale - Pimpama (West)
$375-$399,0,0,0,0,0,3,5,8,12,9,7,7,5,19,3,0,0,0,0,0,0,0,0,0,0,83, Willow Vale - Pimpama (West)
$400-$424,0,0,0,0,0,4,10,8,17,17,20,22,15,34,12,4,0,3,0,4,0,0,8,0,0,178, Willow Vale - Pimpama (West)
$425-$449,0,3,0,0,3,0,9,14,19,23,24,24,11,42,14,14,7,6,4,0,0,0,11,4,0,235, Willow Vale - Pimpama (West)
$450-$474,0,4,0,0,3,3,9,11,19,18,19,27,40,76,36,14,11,0,3,0,0,0,16,6,0,333, Willow Vale - Pimpama (West)
$475-$499,0,0,0,0,0,0,0,0,0,3,6,5,12,13,12,12,0,0,0,3,0,0,4,0,0,87, Willow Vale - Pimpama (West)
$500-$524,0,0,0,0,0,0,0,0,5,3,8,5,4,10,8,8,5,0,0,4,0,0,0,0,0,54, Willow Vale - Pimpama (West)
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,10, Willow Vale - Pimpama (West)
$550-$649,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,27, Willow Vale - Pimpama (West)
$650-$749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Willow Vale - Pimpama (West)
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Willow Vale - Pimpama (West)
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6, Willow Vale - Pimpama (West)
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7, Willow Vale - Pimpama (West)
Not stated,0,0,0,0,0,0,0,0,4,0,5,0,0,4,0,0,0,0,0,0,0,0,3,4,0,26, Willow Vale - Pimpama (West)
Not applicable,6,15,4,4,5,17,15,32,40,55,79,59,65,150,115,89,57,26,68,31,44,14,67,15,247,1313, Willow Vale - Pimpama (West)
Total,8,27,7,3,14,29,49,98,133,144,189,170,169,372,221,144,86,42,83,41,49,17,129,28,246,2479, Willow Vale - Pimpama (West)
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Clear Island Waters
$75-$99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Clear Island Waters
$100-$124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Clear Island Waters
$125-$149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Clear Island Waters
$150-$174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Clear Island Waters
$175-$199,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7, Clear Island Waters
$200-$224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Clear Island Waters
$225-$249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Clear Island Waters
$250-$274,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7, Clear Island Waters
$275-$299,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Clear Island Waters
$300-$324,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11, Clear Island Waters
$325-$349,0,0,0,0,0,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13, Clear Island Waters
$350-$374,0,3,0,0,0,0,4,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11, Clear Island Waters
$375-$399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11, Clear Island Waters
$400-$424,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6, Clear Island Waters
$425-$449,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8, Clear Island Waters
$450-$474,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,20, Clear Island Waters
$475-$499,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14, Clear Island Waters
$500-$524,0,0,0,0,0,0,0,0,5,0,3,0,9,5,3,0,0,0,0,0,0,0,0,0,0,30, Clear Island Waters
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10, Clear Island Waters
$550-$649,0,0,0,0,0,0,0,0,3,3,3,0,3,6,3,0,4,0,0,0,0,0,3,0,0,33, Clear Island Waters
$650-$749,0,0,0,0,0,0,0,0,3,0,5,0,6,3,4,0,0,3,0,0,0,0,0,0,0,24, Clear Island Waters
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,5,0,0,20, Clear Island Waters
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,6,0,0,0,0,0,0,19, Clear Island Waters
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,4,0,6,3,3,11,0,6,0,0,54, Clear Island Waters
Not stated,0,5,0,0,0,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12, Clear Island Waters
Not applicable,5,33,11,22,24,66,61,88,82,94,91,52,60,115,84,69,47,13,60,48,51,21,62,33,179,1480, Clear Island Waters
Total,3,40,11,25,33,79,83,111,100,128,112,65,84,162,98,79,56,29,69,53,63,22,83,42,181,1810, Clear Island Waters
$1-$74,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Merrimac
$75-$99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Merrimac
$100-$124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Merrimac
$125-$149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Merrimac
$150-$174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Merrimac
$175-$199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Merrimac
$200-$224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7, Merrimac
$225-$249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5, Merrimac
$250-$274,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9, Merrimac
$275-$299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Merrimac
$300-$324,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13, Merrimac
$325-$349,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12, Merrimac
$350-$374,0,0,0,0,3,0,4,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,22, Merrimac
$375-$399,0,0,0,0,0,4,0,0,5,4,3,0,5,6,3,0,0,0,0,0,0,0,0,0,0,35, Merrimac
$400-$424,0,0,0,0,6,10,13,10,11,12,18,11,8,9,5,5,0,0,0,0,0,0,3,3,0,121, Merrimac
$425-$449,0,0,0,0,0,6,8,5,0,14,15,6,9,10,12,5,0,0,0,0,0,0,9,0,0,92, Merrimac
$450-$474,0,0,0,0,0,0,3,8,15,12,14,14,9,22,15,9,0,0,4,0,0,0,5,0,0,148, Merrimac
$475-$499,0,0,0,0,0,0,12,0,4,7,12,16,4,20,12,7,0,3,0,0,0,0,5,0,0,114, Merrimac
$500-$524,0,3,0,0,0,0,3,4,7,12,8,12,9,17,10,9,10,0,0,0,0,0,6,0,0,114, Merrimac
$525-$549,0,0,0,0,0,0,0,0,3,0,0,8,0,16,5,0,0,0,0,0,0,0,0,0,0,37, Merrimac
$550-$649,0,0,0,0,0,0,0,7,4,3,6,6,3,16,8,6,3,0,4,0,0,0,7,0,0,85, Merrimac
$650-$749,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,19, Merrimac
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12, Merrimac
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Merrimac
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,10, Merrimac
Not stated,0,0,0,4,0,6,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,4,0,26, Merrimac
Not applicable,3,14,4,19,30,86,52,111,80,111,121,129,117,242,162,125,63,31,44,20,8,4,89,29,209,1919, Merrimac
Total,0,32,12,24,48,117,112,158,143,184,215,197,176,365,235,161,84,39,56,18,9,3,149,46,213,2808, Merrimac
$1-$74,0,0,0,0,4,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12, Varsity Lakes
$75-$99,0,0,0,4,3,4,0,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28, Varsity Lakes
$100-$124,0,0,0,4,6,28,10,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,70, Varsity Lakes
$125-$149,0,0,0,3,0,6,3,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23, Varsity Lakes
$150-$174,0,0,0,4,5,0,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32, Varsity Lakes
$175-$199,0,0,0,0,0,0,3,0,6,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,31, Varsity Lakes
$200-$224,0,3,0,0,3,0,0,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,25, Varsity Lakes
$225-$249,0,0,0,0,0,4,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28, Varsity Lakes
$250-$274,0,4,0,0,4,9,9,7,8,7,0,4,0,0,4,0,0,0,0,0,0,0,0,6,0,71, Varsity Lakes
$275-$299,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13, Varsity Lakes
$300-$324,0,0,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22, Varsity Lakes
$325-$349,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11, Varsity Lakes
$350-$374,0,6,0,0,4,0,9,8,7,12,20,3,4,8,4,0,0,0,0,0,0,0,6,0,0,93, Varsity Lakes
$375-$399,0,3,0,0,3,5,0,11,7,6,9,9,6,10,4,0,0,0,0,0,0,0,0,0,0,77, Varsity Lakes
$400-$424,0,6,3,7,4,5,7,11,22,34,14,12,14,22,7,3,0,0,3,0,0,0,9,0,0,188, Varsity Lakes
$425-$449,0,3,0,0,3,0,3,7,9,7,17,7,11,9,0,3,0,0,4,0,0,0,3,0,0,105, Varsity Lakes
$450-$474,0,4,0,0,6,5,15,7,26,26,38,38,25,56,11,20,3,0,3,0,0,0,13,0,3,312, Varsity Lakes
$475-$499,0,3,0,4,9,6,9,9,24,14,21,28,23,38,23,10,7,0,3,0,0,0,12,4,0,245, Varsity Lakes
$500-$524,0,8,0,0,3,5,8,18,9,30,35,34,21,48,24,18,8,3,3,4,0,0,20,0,0,287, Varsity Lakes
$525-$549,0,0,0,0,0,3,6,3,0,16,20,16,7,17,18,21,3,0,0,0,0,0,11,0,0,150, Varsity Lakes
